n_per_class,repeat_idx,subsample_seed,train_n_pos,train_n_neg,probe_train_acc,probe_cv_acc,probe_test_acc,gate_type,H,C,UA,oracle_gap,gate_on_count,gate_mean,gate_std,gen_time_s,train_time_s
2,0,1200,2,2,1.0,0.5,0.9833,soft_T0.3,0.8667,0.5333,0.0,0.1997,60,0.4586,0.2522,235.9,0.8
2,1,1201,2,2,1.0,0.75,0.95,hard,0.6667,0.6,0.0,-0.0003,31,0.5167,0.4997,235.2,0.7
2,1,1201,2,2,1.0,0.75,0.95,soft_T0.1,0.6667,0.6,0.0,-0.0003,43,0.5171,0.4476,237.8,0.7
2,1,1201,2,2,1.0,0.75,0.95,soft_T0.3,0.8333,0.5333,0.0,0.1663,60,0.4981,0.2821,239.7,0.7
2,2,1202,2,2,1.0,0.5,0.7,hard,0.7667,0.6333,0.0,0.0997,16,0.2667,0.4422,237.3,0.8
2,2,1202,2,2,1.0,0.5,0.7,soft_T0.1,0.8333,0.6333,0.0,0.1663,46,0.3065,0.3643,235.0,0.8
2,2,1202,2,2,1.0,0.5,0.7,soft_T0.3,0.8333,0.6,0.0,0.1663,60,0.3893,0.2228,249.5,0.8
2,3,1203,2,2,1.0,0.5,1.0,hard,0.6667,0.6,0.0,-0.0003,30,0.5,0.5,234.5,0.8
2,3,1203,2,2,1.0,0.5,1.0,soft_T0.1,0.7333,0.5667,0.0,0.0663,43,0.4843,0.4629,237.0,0.8
2,3,1203,2,2,1.0,0.5,1.0,soft_T0.3,0.8333,0.5667,0.0,0.1663,60,0.4735,0.2803,235.7,0.8
2,4,1204,2,2,1.0,0.5,0.7667,hard,0.6667,0.5667,0.0333,-0.0003,44,0.7333,0.4422,231.6,0.8
2,4,1204,2,2,1.0,0.5,0.7667,soft_T0.1,0.6667,0.5667,0.0333,-0.0003,47,0.6995,0.4211,250.1,0.8
2,4,1204,2,2,1.0,0.5,0.7667,soft_T0.3,0.8333,0.5333,0.0333,0.1663,60,0.6147,0.2721,234.7,0.8
